slug,car_autohome_brand_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_brand_92,92,3178.0,,大发,,,,,",dafa,大发,dafa",,,,,,D,1,,,,dafa,Y,,0,B,1,0,,国产
yongyuanqiche,93,142.0,5.0,永源,,http://www.ganji.com/yongyuanqiche/,,7988.0,",yongyuan,永源,yongyuan",,,,bd338ef69b89b770e02abd33a46b2716.png,,Y,1,,,bd338ef69b89b770e02abd33a46b2716.png?imageView2/1/w/80/h/80/,yongyuan,Y,,0,B,1,0,,国产
zhongtai,94,144.0,5.0,众泰,,http://www.ganji.com/zhongtai/,,7990.0,",zhongtai,众泰,zhongtai",,,,1e26377cac9050771d75809fc8af222c.png,,Z,1,,,1e26377cac9050771d75809fc8af222c.png?imageView2/1/w/80/h/80/,zhongtai,Y,,0,B,1,0,,国产
benteng,95,137.0,5.0,奔腾,,http://www.ganji.com/benteng/,,7983.0,",benteng,奔腾,benteng",,,,8be6e797770f0a770ca77af155f12c51.png,,B,1,,,8be6e797770f0a770ca77af155f12c51.png?imageView2/1/w/80/h/80/,benteng,Y,,0,B,1,0,,国产
car_autohome_brand_96,96,7688.0,,福田,,,,,",futian,福田,futian",,,,4d9c1ea39d7143005b8a46044905e087.png,,F,1,,,4d9c1ea39d7143005b8a46044905e087.png?imageView2/1/w/80/h/80/,futian,Y,,0,B,1,0,,国产
huanghai,97,1464.0,2223.0,黄海,,http://www.che168.com/china/huanghai/,,,",huanghai,黄海,huanghai",,,,fe91e6b70ddfdb7e8930015324b7eb7a.png,,H,1,,,fe91e6b70ddfdb7e8930015324b7eb7a.png?imageView2/1/w/80/h/80/,huanghai,Y,,0,B,1,0,,国产
xiyate,98,133.0,5.0,西雅特,,http://www.ganji.com/xiyate/,,7979.0,",xiyate,西雅特,xiyate",,,,398f415d75fb4d49d63575041105ad57.png,,X,1,,,398f415d75fb4d49d63575041105ad57.png?imageView2/1/w/80/h/80/,xiyate,Y,,0,B,1,0,,德系
car_autohome_brand_99,99,3179.0,,威兹曼,,,,,",weiziman,威兹曼,weiziman",,,,,,W,1,,,,weiziman,Y,,0,B,1,0,,国产
kenisaige,100,1382.0,1.0,科尼赛克,,http://www.51auto.com/search/b-kenisaige/,,,",kenisaike,科尼赛克,kenisaike",,,,6a5d3d443755f353767709eb1650347e.png,,K,1,,,6a5d3d443755f353767709eb1650347e.png?imageView2/1/w/80/h/80/,kenisaike,Y,,0,B,1,0,,欧系
kairui,101,78.0,5.0,开瑞,,http://www.ganji.com/kairui/,,7924.0,",kairui,开瑞,kairui",,,,d102a66664bb99909eba576f4b4b4659.png,,K,1,,,d102a66664bb99909eba576f4b4b4659.png?imageView2/1/w/80/h/80/,kairui,Y,,0,B,1,0,,国产
weilin,102,126.0,5.0,威麟,,http://www.ganji.com/weilin/,,7972.0,",weilin,威麟,weilin",,,,34a6f9b75790a4681d0199677dba92aa.png,,W,1,,,34a6f9b75790a4681d0199677dba92aa.png?imageView2/1/w/80/h/80/,weilin,Y,,0,B,1,0,,国产
ruilin,103,108.0,5.0,瑞麒,,http://www.ganji.com/ruilin/,,7954.0,",ruiqi,瑞麒,ruiqi",,,,b2da2cd6ee01f4ac5d57e3a16d226ca5.png,,R,1,,,b2da2cd6ee01f4ac5d57e3a16d226ca5.png?imageView2/1/w/80/h/80/,ruiqi,Y,,0,B,1,0,,国产
jiao,108,66.0,5.0,广汽吉奥,,http://www.ganji.com/jiao/,,7912.0,",guangqijiao,广汽吉奥,guangqijiao",,,,0b1e48c540bef19920022458762d6803.png,,G,1,,,0b1e48c540bef19920022458762d6803.png?imageView2/1/w/80/h/80/,guangqijiao,Y,,0,B,1,0,,国产
car_autohome_brand_109,109,3180.0,,KTM,,,,,",KTM,KTM,KTM",,,,,,K,1,,,,KTM,Y,,0,B,1,0,,国产
car_autohome_brand_110,110,7689.0,,一汽,,,,,",yiqi,一汽,yiqi",,,,,,Y,1,,,,yiqi,Y,,0,B,1,0,,国产
chuanqiyema,111,24.0,5.0,野马汽车,,http://www.ganji.com/chuanqiyema/,,7870.0,",yemaqiche,野马汽车,yemaqiche",,,,b0fc918d5fd722f0c0a5332220779d20.png,,Y,1,,,b0fc918d5fd722f0c0a5332220779d20.png?imageView2/1/w/80/h/80/,yemaqiche,Y,,0,B,1,0,,国产
gmc,112,51.0,5.0,GMC,,http://www.ganji.com/gmc/,,7897.0,",GMC,GMC,GMC",,,,0896eb060de288d8c3a4998161647d12.png,,G,1,,,0896eb060de288d8c3a4998161647d12.png?imageView2/1/w/80/h/80/,GMC,Y,,0,B,1,0,,美系
car_autohome_brand_113,113,7690.0,,东风风神,,,,,",dongfengfengshen,东风风神,dongfengfengshen",,,,,,D,1,,,,dongfengfengshen,Y,,0,B,1,0,,国产
wuling,114,125.0,5.0,五菱汽车,,http://www.ganji.com/wuling/,,7971.0,",wulingqiche,五菱汽车,wulingqiche",,,,c04774f0d8c2ddaf13d735d9e8065813.png,,W,1,,,c04774f0d8c2ddaf13d735d9e8065813.png?imageView2/1/w/80/h/80/,wulingqiche,Y,,0,B,1,0,,国产
galue,116,45.0,5.0,光冈,,http://www.ganji.com/galue/,,7891.0,",guanggang,光冈,guanggang",,,,a606ef710eee90aa7a8fd6c469b56122.png,,G,1,,,a606ef710eee90aa7a8fd6c469b56122.png?imageView2/1/w/80/h/80/,guanggang,Y,,0,B,1,0,,日系
car_autohome_brand_117,117,3181.0,,AC Schnitzer,,,,,",AC Schnitzer,AC Schnitzer,AC Schnitzer",,,,,,A,1,,,,AC Schnitzer,Y,,0,B,1,0,,国产
car_autohome_brand_118,118,3182.0,,Lorinser,,,,,",Lorinser,Lorinser,Lorinser",,,,,,L,1,,,,Lorinser,Y,,0,B,1,0,,国产
car_autohome_brand_119,119,7691.0,,江铃,,,,,",jiangling,江铃,jiangling",,,,9eae66ad3a2d3dabdd9ef1c13ce7a23f.png,,J,1,,,9eae66ad3a2d3dabdd9ef1c13ce7a23f.png?imageView2/1/w/80/h/80/,jiangling,Y,,0,B,1,0,,国产
baojun,120,15.0,5.0,宝骏,,http://www.ganji.com/baojun/,,7861.0,",baojun,宝骏,baojun",,,,3d097ce1bc08d4cbc4227806d6943860.png,,B,1,,,3d097ce1bc08d4cbc4227806d6943860.png?imageView2/1/w/80/h/80/,baojun,Y,,0,B,1,0,,国产
logo_245,122,1857.0,5012.0,启辰,,http://product.cheshi.com/logo_245/,,,",qichen,启辰,qichen",,,,feae2dfff9b8a9e8c6e126213bfeff41.jpg,,Q,1,,,feae2dfff9b8a9e8c6e126213bfeff41.jpg?imageView2/1/w/80/h/80/,qichen,Y,,0,B,1,0,,国产
linian,124,90.0,5.0,理念,,http://www.ganji.com/linian/,,7936.0,",linian,理念,linian",,,,f5cc472c4cb5f3df00824103009254c9.png,,L,1,,,f5cc472c4cb5f3df00824103009254c9.png?imageView2/1/w/80/h/80/,linian,Y,,0,B,1,0,,国产
logo_259,129,1574.0,2840.0,迈凯伦,,http://product.cheshi.com/logo_259/,,,",maikailun,迈凯伦,maikailun",,,,fdf489afaaa093ed71143a02a934a97b.png,,M,1,,,fdf489afaaa093ed71143a02a934a97b.png?imageView2/1/w/80/h/80/,maikailun,Y,,0,B,1,0,,欧系
dongfengyulongnazhijie,130,35.0,5.0,纳智捷,,http://www.ganji.com/dongfengyulongnazhijie/,,7881.0,",nazhijie,纳智捷,nazhijie",,,,b565d157612c114ec26b693481cd2f55.png,,N,1,,,b565d157612c114ec26b693481cd2f55.png?imageView2/1/w/80/h/80/,nazhijie,Y,,0,B,1,0,,国产
tesla,133,2377.0,,特斯拉,,,,,",tesila,特斯拉,tesila",,,,6f8c9e6cfa0c3b2fe45e251f6d678498.png,,T,1,,,6f8c9e6cfa0c3b2fe45e251f6d678498.png?imageView2/1/w/80/h/80/,tesila,Y,,0,B,1,0,,美系
barbus,140,1554.0,2840.0,巴博斯,,http://www.taoche.com/buycar/brand/barbus/,,,",babosi,巴博斯,babosi",,,,4577ee10e5dadb885dbb297f527ab6f5.png,,B,1,,,4577ee10e5dadb885dbb297f527ab6f5.png?imageView2/1/w/80/h/80/,babosi,Y,,0,B,1,0,,德系
fudi,141,36.0,5.0,福迪,,http://www.ganji.com/fudi/,,7882.0,",fudi,福迪,fudi",,,,eba749102149e6c5c95f896cfd5ca888.png,,F,1,,,eba749102149e6c5c95f896cfd5ca888.png?imageView2/1/w/80/h/80/,fudi,Y,,0,B,1,0,,国产
car_autohome_brand_142,142,7692.0,,东风小康,,,,,",dongfengxiaokang,东风小康,dongfengxiaokang",,,,,,D,1,,,,dongfengxiaokang,Y,,0,B,1,0,,国产
beiqiweiwang,143,2327.0,0.0,北汽威旺,,,,,",beiqiweiwang,北汽威旺,beiqiweiwang",,,,975d481d30f7311f084fac395172d9ef.png,,B,1,,,975d481d30f7311f084fac395172d9ef.png?imageView2/1/w/80/h/80/,beiqiweiwang,Y,,0,B,1,0,,国产
nj-iveco,144,100.0,5.0,依维柯,,http://www.ganji.com/nj-iveco/,,7946.0,",yiweike,依维柯,yiweike",,,,71267e87ac2f663f83f5e96e63e73c45.png,,Y,1,,,71267e87ac2f663f83f5e96e63e73c45.png?imageView2/1/w/80/h/80/,yiweike,Y,,0,B,1,0,,欧系
car_autohome_brand_145,145,3183.0,,金龙,,,,,",jinlong,金龙,jinlong",,,,,,J,1,,,,jinlong,Y,,0,B,1,0,,国产
car_autohome_brand_146,146,7693.0,,欧朗,,,,,",oulang,欧朗,oulang",,,,,,O,1,,,,oulang,Y,,0,B,1,0,,国产
haige,150,2331.0,0.0,海格,,,,,",haige,海格,haige",,,,9cb77238f4bba3634c79481e7a52c098.png,,H,1,,,9cb77238f4bba3634c79481e7a52c098.png?imageView2/1/w/80/h/80/,haige,Y,,0,B,1,0,,国产
logo_258,151,1855.0,5012.0,九龙,,http://product.cheshi.com/logo_258/,,,",jiulong,九龙,jiulong",,,,cb3933fbedb6c6491a0d78e9bf5a1f5c.jpg,,J,1,,,cb3933fbedb6c6491a0d78e9bf5a1f5c.jpg?imageView2/1/w/80/h/80/,jiulong,Y,,0,B,1,0,,国产
guanzhi,152,2229.0,0.0,观致,,,,,",guanzhi,观致,guanzhi",,,,e2d127a9d0be32d51c110a655f2b445d.png,,G,1,,,e2d127a9d0be32d51c110a655f2b445d.png?imageView2/1/w/80/h/80/,guanzhi,Y,,0,B,1,0,,国产
beiqizhizao,154,1462.0,2223.0,北汽制造,,http://www.che168.com/china/beiqizhizao/,,,",beiqizhizao,北汽制造,beiqizhizao",,,,65a39b3a45f6dbd69a0bbda88a152762.png,,B,1,,,65a39b3a45f6dbd69a0bbda88a152762.png?imageView2/1/w/80/h/80/,beiqizhizao,Y,,0,B,1,0,,国产
datong,155,31.0,5.0,上汽大通MAXUS,,http://www.ganji.com/datong/,,7877.0,",shangqidatong,上汽大通,shangqidatong",,,,ef18f0b8013dcdc92f413490237f81d4.png,,S,1,,,ef18f0b8013dcdc92f413490237f81d4.png?imageView2/1/w/80/h/80/,shangqidatong,Y,,0,B,1,0,,国产
logo_269,156,1856.0,5012.0,卡尔森,,http://product.cheshi.com/logo_269/,,,",qiaersen,卡尔森,qiaersen",,,,35fab95fadd9d35c3e4a8da62a07d4aa.png,,Q,1,,,35fab95fadd9d35c3e4a8da62a07d4aa.png?imageView2/1/w/80/h/80/,qiaersen,Y,,0,B,1,0,,德系
tengshi,161,2388.0,,腾势,,,,,",tengshi,腾势,tengshi",,,,79fdc7b9bf903edb9436522acebbdff6.png,,T,1,,,79fdc7b9bf903edb9436522acebbdff6.png?imageView2/1/w/80/h/80/,tengshi,Y,,0,B,1,0,,国产
car_autohome_brand_162,162,7694.0,,思铭,,,,,",siming,思铭,siming",,,,,,S,1,,,,siming,Y,,0,B,1,0,,国产
