slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_model_4581,4581,3479.0,,Polestar 1,,,car_autohome_brand_308,,",Polestar 1,Polestar 1,Polestar 1",跑车,,,140422418aa17a30e3499c51ae518919.png,Polestar,P,1,,,140422418aa17a30e3499c51ae518919.png?imageView2/1/w/160/h/80/,Polestar 1,Y,国产,0,B,1,0,Polestar 1,
car_autohome_model_4656,4656,3480.0,,庆铃TAGA,,,car_autohome_brand_312,,",qinglingTAGA,庆铃TAGA,qinglingTAGA",皮卡,,,74d52c224d8f8ff6690c6608e2cd4359.png,庆铃汽车,Q,1,,,74d52c224d8f8ff6690c6608e2cd4359.png?imageView2/1/w/160/h/80/,qinglingTAGA,Y,国产,0,B,1,0,庆铃TAGA,
chunqGE3,4255,2871.0,,传祺GA3S PHEV,,,car_autohome_brand_313,,",chuanqiGA3S PHEV,传祺GA3S PHEV,chuanqiGA3S PHEV",紧凑型车,,,f7eaa0ba3b1a3868d2600583d39b8ca7.png,广汽新能源,C,1,,small_suv,f7eaa0ba3b1a3868d2600583d39b8ca7.png?imageView2/1/w/160/h/80/,chuanqiGA3S PHEV,Y,国产,0,B,1,0,传祺GA3S PHEV,
car_autohome_model_5026,5026,7737.0,,Aion S,,,car_autohome_brand_313,,",Aion S,Aion S,Aion S",紧凑型车,,,,广汽新能源,A,1,,,,Aion S,Y,国产,0,B,1,0,Aion S,
ynquQ1,4670,3032.0,,全界Q1,,,ynqu,,",quanjieQ1,全界Q1,quanjieQ1",小型车,,,9ef33731aa86935c0098b1824b7bf076.png,云雀汽车,Q,1,,small_car,9ef33731aa86935c0098b1824b7bf076.png?imageView2/1/w/160/h/80/,quanjieQ1,Y,国产,0,B,1,0,全界Q1,
car_autohome_model_4677,4677,3513.0,,零跑S01,,,car_autohome_brand_318,,",lingpaoS01,零跑S01,lingpaoS01",小型车,,,754ae08fdced0e1c99e31ecbbc8995d6.png,零跑汽车,L,1,,,754ae08fdced0e1c99e31ecbbc8995d6.png?imageView2/1/w/160/h/80/,lingpaoS01,Y,国产,0,B,1,0,零跑S01,
jitX70,4683,3089.0,,捷途X70,,,jit,,",jietuX70,捷途X70,jietuX70",中型SUV,,,556dda43c8e2fb3312bdb2ae82dcd7cb.png,奇瑞汽车,J,1,,mid_suv,556dda43c8e2fb3312bdb2ae82dcd7cb.png?imageView2/1/w/160/h/80/,jietuX70,Y,国产,0,B,1,0,捷途X70,
car_autohome_model_4797,4797,7738.0,,捷途X90,,,jit,,",jietuX90,捷途X90,jietuX90",中型SUV,,,,奇瑞汽车,J,1,,,,jietuX90,Y,国产,0,B,1,0,捷途X90,
car_autohome_model_5052,5052,7739.0,,捷途X70S,,,jit,,",jietuX70S,捷途X70S,jietuX70S",中型SUV,,,,奇瑞汽车,J,1,,,,jietuX70S,Y,国产,0,B,1,0,捷途X70S,
xntDEV1,4781,3129.0,,SITECH DEV 1,,,xnt,,",SITECH DEV 1,SITECH DEV 1,SITECH DEV 1",微型车,,,d1d8725295966ce8472a28b03d6b196e.png,新特汽车,S,1,,mini_car,d1d8725295966ce8472a28b03d6b196e.png?imageView2/1/w/160/h/80/,SITECH DEV 1,Y,国产,0,B,1,0,SITECH DEV 1,
car_autohome_model_4755,4755,3483.0,,东风・瑞泰特EM30,,,car_autohome_brand_326,,",dongfeng・ruitaiteEM30,东风・瑞泰特EM30,dongfeng・ruitaiteEM30",轻客,,,,西安新青年,D,1,,,,dongfeng・ruitaiteEM30,Y,国产,0,B,1,0,东风・瑞泰特EM30,
car_autohome_model_4431,4431,3484.0,,祺智PHEV,,,car_autohome_brand_329,,",qizhiPHEV,祺智PHEV,qizhiPHEV",紧凑型SUV,,,,广汽三菱,Q,1,,,,qizhiPHEV,Y,国产,0,B,1,0,祺智PHEV,
